Topic,Frequency,date,Name
16,23,10/4/2020,16_virus_coronavirus_corona_infected
17,6,10/4/2020,17_nurses_doctors_nurse_staff
18,151,10/4/2020,18_happy_wishes_buddha_wish
19,28,10/4/2020,19_minister_honorable_ministers_honourab...
20,8,10/4/2020,20_supermarket_shop_supermarkets_shops
21,2,10/4/2020,21_election_pap_vote_party
22,22,10/4/2020,22_government_govt_governance_sg
23,7,10/4/2020,23_mrt_bus_buses_train
24,8,10/4/2020,24_team_hard_teams_appreciate
25,2,10/4/2020,25_test_testing_tested_tests
26,18,10/4/2020,26_dorms_dormitories_dormitory_dorm
27,23,10/4/2020,27_lot_alot_thanksa_thankspm
28,19,10/4/2020,28_circuit_breaker_measures_extend
29,11,10/4/2020,29_sg_united_strong_congratulations
30,13,10/4/2020,30_bangladesh_bangladeshi_love_respect
31,5,10/4/2020,31_drink_language_sip_tea
32,2,10/4/2020,32_otters_animals_otter_fishes
33,27,10/4/2020,33_pray_praying_prayers_prayer
34,14,10/4/2020,34_exercise_jogging_exercising_cycling
35,1,10/4/2020,35_salon_barber_haircut_hairdresser
36,11,10/4/2020,36_sad_suicide_cry_crying
37,10,10/4/2020,37_love_dear_leemagiccup_amorous
38,1,10/4/2020,38_eat_food_eating_dine
39,5,10/4/2020,39_migrant_workers_migrants_care
40,3,10/4/2020,40_extend_cb_ccb_extension
41,27,10/4/2020,41_thankyou_thankyouswitzerrland_hon_app...
42,9,10/4/2020,42_safe_stay_keep_calm
43,2,10/4/2020,43_mothers_mothership_mums_mum
44,10,10/4/2020,44_singapura_majulah_singapor_majullah
45,10,10/4/2020,45_lockdown_lock_partial_curve
46,2,10/4/2020,46_switzerland_swiss_visit_solidarity
47,1,10/4/2020,47_stupid_stupidity_idiot_dumb
48,11,10/4/2020,48_speech_speeches_reassuring_spoken
49,1,10/4/2020,49_condolences_annabel_ms_condolence
50,4,10/4/2020,50_wedding_wife_marriage_bouquet
51,9,10/4/2020,51_loong_kuan_yew_salute
52,2,10/4/2020,52_privacy_tracetogether_tracing_bluetoo...
53,5,10/4/2020,53_job_great_good_well
55,4,10/4/2020,55_hope_dream_chance_juliet
56,9,10/4/2020,56_song_sing_music_voice
57,3,10/4/2020,57_news_hapugalle_media_sharing
58,1,10/4/2020,58_conditioning_solar_coal_energy
59,6,10/4/2020,59_hero_heroes_batman_heros
60,2,10/4/2020,60_fish_fishing_salmon_seafood
62,8,10/4/2020,62_malaysia_malaysian_indonesia_malay
63,3,10/4/2020,63_congratulations_proud_muthukumarasamy...
64,12,10/4/2020,64_photo_picture_photos_pic
65,9,10/4/2020,65_ministers_cabinet_appreciate_prime
66,1,10/4/2020,66_vaccine_vaccines_antibodies_flu
71,15,10/4/2020,71_morning_good_day_happy
72,1,10/4/2020,72_pasta_cheese_sauce_bacon
73,3,10/4/2020,73_vietnam_vietnamese_viet_donations
74,3,10/4/2020,74_sunset_sky_sun_sunsets
75,7,10/4/2020,75_bless_shepherd_flock_fauna
76,4,10/4/2020,76_video_videos_youtube_tv
77,7,10/4/2020,77_amazing_awesome_excellent_fantastic
79,7,10/4/2020,79_leader_politician_austrian_mendelsohn
80,2,10/4/2020,80_bid_bundle_bidders_osso
82,4,10/4/2020,82_rip_sad_ndp_loss
84,7,10/4/2020,84_love_thanks_beloved_raley
-1,668,14/4/2020,-1_together_bless_well_everyone
0,60,14/4/2020,0_ng_lim_wong_yang
1,48,14/4/2020,1_money_pay_jobs_salary
2,75,14/4/2020,2_singaporean_singaporeans_proud_ministe...
3,58,14/4/2020,3_hardcore_gastor_gateway_gates
4,100,14/4/2020,4_leadership_leaders_proud_kindness
5,48,14/4/2020,5_mask_wear_masks_face
6,12,14/4/2020,6_phase_ntuc_june_time
7,29,14/4/2020,7_hari_allah_muslim_ramadan
8,7,14/4/2020,8_police_jail_enforcement_fines
9,43,14/4/2020,9_care_appreciate_advice_caring
10,33,14/4/2020,10_safe_healthy_care_stay
11,9,14/4/2020,11_home_stay_safe_staying
12,36,14/4/2020,12_thanku_dear_sri_merci
13,25,14/4/2020,13_covid_fight_fighting_pandemic
14,4,14/4/2020,14_school_parents_schools_teachers
15,6,14/4/2020,15_china_taiwan_chinese_kong
16,26,14/4/2020,16_virus_coronavirus_corona_infected
17,123,14/4/2020,17_nurses_doctors_nurse_staff
18,4,14/4/2020,18_happy_wishes_buddha_wish
19,46,14/4/2020,19_minister_honorable_ministers_honourab...
20,2,14/4/2020,20_supermarket_shop_supermarkets_shops
